term,cvalue
resources,161.64897776554568
performance,126.04465975133083
applications,113.03624271046502
system,112.16414277367625
systems,109.57368387999078
resource management,69.62732174264171
processors,65.66631561501538
framework,65.30151443843245
application,63.99899797054962
policies,63.94282740665495
grids,63.60778532185205
grid,60.16789349684073
computer systems,54.659606238441405
jobs,52.10438074355491
implementation,49.4823249302861
parallel applications,48.103454516030084
scheduling,47.37355626511824
model,44.72896198306437
environments,43.76478446463356
distributed systems,40.73140587846909
grid environments,39.42888570478234
architecture,36.741119750436866
algorithms,36.52376354404349
number of processors,35.94878728264789
computational grids,35.33326774999728
services,34.74266945022003
users,33.35925854863408
addition,33.27106466687737
gang scheduling,32.49660241322652
analysis,32.49127408874743
processor,32.39134296266621
execution,32.10944098243612
workload characteristics,31.780538303479457
grid computing,30.34915929057547
design,30.291933526636804
performance analysis,29.957322735539908
workloads,29.8924739009695
dynamic partitioning,28.459456598762912
distributed resources,27.400701939510807
mechanisms,26.7827002921939
job,25.964763602912154
resource,25.759082097558963
time,25.755889972385333
grid environment,24.95329850015803
simulations,24.778251152249833
globus toolkit,23.751515966537326
algorithm,23.500749827161304
data,23.389687418429784
parameter sweep applications,23.325431571226428
reconfigurable applications,23.070858062030304
grid workloads,22.99749958664725
networks,22.743891862123203
system performance,22.544899711590084
resource sharing,22.18070977791825
work,21.652597640348766
reallocation mechanism,21.637297173508212
issues,21.267405873880826
order,20.922692861643302
scheduling policy,19.832493408393514
access,19.51026977603882
context,19.45910149055313
response time,19.053909512571416
computer system,18.95635140771547
service,18.817592650205224
multiprocessor systems,18.546254720149896
network,18.506847587823938
network models,18.47340130730681
wide range,18.420680743952367
simulation,18.164837955841918
evaluation,18.1549978486069
infrastructure,18.096393117361774
grid infrastructures,17.974393641323946
predictions,17.81293631221647
complex undertaking,17.66663387499864
parallel processing,17.66663387499864
methods,17.51319134149782
tasks,17.328281523873812
multiprocessor,17.223321519594318
control,17.188872983321936
resource allocation,17.175894045137568
program,17.16570738630937
grid technologies,16.9992800643373
cornell theory center,16.744873407478828
operating system,16.635532333438686
requests,16.635532333438686
security,16.635532333438686
complexity,16.11809565095832
sites,15.987083263512064
workload,15.969044659823355
network weather service,15.677471079645748
nimrodg resource broker,15.677471079645748
grid resource management,15.360593513348404
part,15.249237972318797
virtual organizations,15.222612188617115
execution time,15.174579645287736
supercomputers,15.174579645287736
multicluster systems,14.978661367769954
coallocation,14.909439898728003
efficient execution,14.722194895832201
processes,14.7045029406347
requirements,14.608239092693093
quality of service,14.451858789480823
engineering,14.387371636790224
resource information,14.229728299381456
grid applications,14.16606672028108
development,14.087634727690428
parallelism,14.067652267083776
scheduling algorithm,13.980083943251959
customers,13.915755656462723
benefits,13.862943611198906
technologies,13.844479905961716
models,13.66737455597214
account,13.621371043387192
effects,13.621371043387192
example,13.621371043387192
grid middleware,13.54025100551105
information,13.520047814714218
system utilization,13.488401536848768
host load prediction,13.480795230992959
middleware,13.303824981743377
high performance,13.24681278403451
load balancing,13.195286648076292
performance characteristics,13.183347464017316
average job response time,12.875503299472802
effectiveness,12.824746787307683
service times,12.824746787307683
technique,12.634041319683263
study,12.627897466790634
computational resources,12.541976863716599
management of resources,12.541976863716599
performance degradation,12.541976863716599
different grid systems,12.364169813433264
mechanism,12.304457633082828
job response time,12.277257824243605
cost,12.184797805632721
solution,12.109688978017866
scalability,11.989476363991853
system load,11.989476363991853
logic theory machine,11.982929094215963
number of processes,11.777755916665761
programs,11.68448104372479
science,11.675460894331879
parallel computers,11.561487031584658
resource discovery,11.561487031584658
computational grid,11.561487031584658
better performance,11.561487031584658
peertopeer,11.51292546497023
challenges,11.51292546497023
clusters,11.491650625072776
