term,cvalue
system,117.55098091987156
applications,115.29109990654325
performance,109.31095002204985
resources,106.09455816280602
systems,86.33105218981937
algorithms,72.89775078501604
resource management,72.65602129672865
application,68.79099557835326
grid,57.33679665534279
algorithm,56.75270310729406
tasks,54.17428746759311
data,50.808433654592974
implementation,49.92216781855531
users,46.432283773723796
processors,45.688135792566065
parallel applications,45.28727126113592
scheduling,45.261599131892766
resource allocation,43.577696891663315
framework,41.74726696938817
grid computing,41.34523149730571
design,40.83975893654291
distributed resources,39.5787916904045
services,38.99665028163966
execution,38.65625612330502
architecture,36.18024082091328
load balancing,35.62727394980599
time,35.4891356446692
jobs,34.60404001410804
task,34.36410445160652
policies,32.5245984724282
computational grids,32.38882877083084
experiments,27.97544484931432
high performance,27.299335111284
computer systems,26.801690981651216
grid resources,26.390573296152585
service,26.371439034958573
network,26.250709461765794
processor,25.852450878019773
grid technologies,25.498920096505945
model,25.261177669074357
resource requirements,24.356179501787384
environments,24.227839835433002
development,23.730894596314908
parameter sweep applications,23.325431571226428
computational grid,23.122974063169316
reconfigurable applications,23.070858062030304
scientists,23.02585092994046
deadline,22.873856958478193
strategy,22.66591280431021
strategies,22.405924174134366
simulation,22.148675656418916
application performance,21.948459511504048
cloud computing,21.66440160881768
gang scheduling,21.66440160881768
scientific applications,21.42587714218252
load,21.27660475979658
order,20.922692861643302
multiprocessor systems,20.864536560168634
control,20.5635369805575
utility grids,20.519594859692294
grid environments,19.832493408393514
grids,19.179135123173026
nodes,19.083335247432903
requirements,19.050950981708002
network weather service,18.812965295574898
addition,18.71497387511852
information,18.70358312782729
globus toolkit,18.47340130730681
wide range,18.420680743952367
security,18.41791079773569
advance reservation,17.66663387499864
deadlines,17.577796618689757
number,17.428933018854714
quality of service,17.342230547376985
simulation studies,17.342230547376985
system performance,17.342230547376985
resource management architecture,17.328679513998633
resource,17.318777411419205
grid applications,16.9992800643373
metalevel control,16.9992800643373
commercial computing service,16.66102255087602
taxonomy,16.635532333438686
internet,16.47557529177101
system parameters,16.290976728323244
preemptive migration,16.17695427719155
method,15.99785240382192
complexity,15.926213559875485
models,15.816911176633864
nimrodg resource broker,15.677471079645748
dynamic load balancing,15.45521226679158
effectiveness,15.389696144769221
grid workflows,15.174579645287736
parameters,15.148586138118723
user,15.060197832166084
work,15.018188912132148
such systems,14.909439898728003
computers,14.892299913056599
multiprocessor,14.801669370450798
data grid,14.58158128595855
workflows,14.514998723008965
predictions,14.387371636790224
workload,14.348146637590867
survey,14.33407575382444
state information,14.16606672028108
such applications,14.16606672028108
response time,14.107221466038451
abstract,14.093992671385553
environment,13.928200201573516
operating system,13.862943611198906
resource sharing,13.862943611198906
grid environment,13.862943611198906
distributed hierarchical control,13.862943611198906
challenges,13.815510557964275
schedule,13.776300213628911
open grid services architecture,13.735948817940585
computations,13.666986573834002
heuristics,13.662004885098007
computer system,13.54025100551105
qos constraints,13.54025100551105
host load prediction,13.480795230992959
response times,13.195286648076292
workloads,13.078717722239402
data parallel computations,13.032386152085929
dataintensive applications,13.032386152085929
job,12.929821551247754
way,12.817143367794614
wide area,12.743902548550073
issues,12.542316284596385
management of resources,12.541976863716599
nonpreemptive migration,12.541976863716599
mean flow time,12.535522315672477
study,12.504094550449548
behavior,12.476649250079014
availability,12.424533248940001
utility,12.352299207046771
mechanism,12.304457633082828
computational economy,12.178089750893692
cornell theory center,12.178089750893692
scheduling algorithms,12.178089750893692
access,12.10795035266231
programs,12.09856896977359
analysis,12.091567483101267
scheduling algorithm,11.982929094215963
number of processors,11.982929094215963
networks,11.981544121107625
function,11.882523095313347
efficient execution,11.777755916665761
number of resources,11.777755916665761
parallel processing,11.777755916665761
computational resources,11.758103309734311
article,11.675460894331879
computer,11.62946936272797
computation,11.553495405301241
solution,11.552453009332421
operations,11.51292546497023
engineering,11.509897309432178
adaptive policies,11.332853376224865
independent tasks,11.332853376224865
interactive users,11.332853376224865
distributed systems,11.287016086804687
cpu availability,11.090354888959125
drms,11.090354888959125
optimal solution,11.090354888959125
remote execution,11.090354888959125
technologies,11.044029554613335
mechanisms,10.937279191721718
distributed resource management system,10.912758479179157
fault tolerance,10.83220080440884
process control,10.83220080440884
execution time,10.556229318461034
advanced research projects agency,10.489522684399441
changes in resource availability,10.39720770839918
data movement,10.259797429846147
san diego supercomputer center,10.203592144986466
process lifetime distributions,10.203592144986466
hardware,10.166158648212532
serviceoriented architecture,9.996613530525611
receiverinitiated strategies,9.996613530525611
load sharing,9.939626599152001
set of tasks,9.939626599152001
performance characteristics,9.887510598012987
use,9.831171506286418
senderinitiated strategies,9.774289614064447
context,9.729550745276565
