term,cvalue
system,142.68415003088754
resources,126.15932325914008
applications,115.70218235459168
systems,105.94399700412261
performance,87.76296698442037
application,71.17201227797233
algorithms,63.869324603287225
resource management,63.489465488276366
implementation,57.883324096228
users,56.10040723341721
tasks,55.88326084840626
algorithm,54.65596136123846
grid,49.217503312040094
processors,43.66688158499423
design,42.63151840577096
services,41.19893554453174
environments,39.03919131377464
framework,37.352817814715735
data,36.935980793975936
architecture,36.22229308729431
computer systems,35.53954634870992
service,34.27795570258975
network,34.22117848338654
distributed resources,33.489746814957655
processor,32.503770471628904
resource allocation,31.73450899768275
grid environments,31.16534678461838
grid computing,31.008923622979285
policies,30.555059387948607
resource requirements,30.44522437723423
task,30.128797448338958
load balancing,29.909316402306263
cloud computing,29.788552212124312
model,28.530944811331775
cloud,28.165163467596756
resource,27.844500643670102
mechanisms,27.170504097329744
energy consumption,26.01334582106548
time,25.872471935248395
order,25.751006598945605
resource sharing,24.95329850015803
jobs,24.764258360005318
data centers,24.600575832901203
high performance,24.213941507560758
execution,23.746927162749145
computational grids,23.555511833331522
environment,23.440649707559583
parameter sweep applications,23.325431571226428
reconfigurable applications,23.070858062030304
utility,22.86444425139993
programs,22.613926765768213
security,22.576793881095362
scheduling,22.35426361115053
operating system,22.18070977791825
application performance,21.948459511504048
computer system,21.66440160881768
grids,21.612451966972205
development,21.403435583126196
parallel applications,21.31165706406396
deadline,20.79441541679836
control,20.62664757998632
effectiveness,20.519594859692294
distributed systems,20.283912967591036
grid technologies,19.832493408393514
computers,19.57527350717723
response time,19.420330849351636
network weather service,18.812965295574898
addition,18.71497387511852
requirements,18.66710361304156
load,18.65623258863039
internet,18.41791079773569
simulation,17.3579491625705
computational grid,17.342230547376985
quality of service,17.342230547376985
resource management architecture,17.328679513998633
data grid,17.08952449039282
metalevel control,16.9992800643373
information,16.294788331061653
cost,16.25745205313326
preemptive migration,16.17695427719155
wide range,16.11809565095832
sites,15.960259298304827
globus toolkit,15.83434397769155
management of resources,15.677471079645748
nimrodg resource broker,15.677471079645748
infrastructure,15.614422533556946
dynamic load balancing,15.45521226679158
deadlines,15.380572041353537
virtual organizations,15.222612188617115
user,15.05119592073024
scientific applications,15.050372236459918
computational resources,14.893597525663461
communication costs,14.722194895832201
customers,14.501682210419048
distributed system,14.451858789480823
resource providers,14.451858789480823
simulation studies,14.451858789480823
engineering,14.387371636790224
predictions,14.387371636790224
such applications,14.16606672028108
state information,14.16606672028108
issues,14.154899806901636
job,14.088086995861644
number,14.02515170740581
technologies,13.993947975121896
access,13.930929873248129
experiments,13.907792582230549
distributed hierarchical control,13.862943611198906
grid environment,13.862943611198906
optimal solution,13.862943611198906
john wiley,13.815510557964275
complexity,13.815510557964275
context,13.621371043387192
gang scheduling,13.54025100551105
task assignment,13.54025100551105
project,13.329484521028895
data parallel computations,13.032386152085929
wide area,12.817143367794614
application requirements,12.712215321391783
service level agreements,12.712215321391783
nonpreemptive migration,12.541976863716599
part,12.476649250079015
behavior,12.476649250079014
taxonomy,12.476649250079014
