term,cvalue
performance,164.42442819805703
applications,123.33344014085395
system,122.96554681722536
systems,108.03044510838747
processors,77.67012642953087
implementation,75.65297678230408
data,65.9863037644378
algorithm,65.5651813877128
design,64.15654873687551
application,64.13738829663852
algorithms,63.941016813142355
grid,61.6856271525412
resources,60.60959487944372
architecture,53.9177857972868
software,53.84943420921549
hardware,49.49070869198009
processor,47.84279321619188
tasks,47.82829622385685
memory,47.20402939705742
shared memory,40.01320997639997
services,38.98952890649692
framework,37.223569310166546
release consistency,33.56660436249742
information,33.12784546112211
computer systems,32.9244910765974
programs,32.64723220437342
resource management,31.603645043053127
time,30.036377824264296
number of processors,29.957322735539908
computational grids,29.444389791664403
task,28.80971735927336
network,28.304147622622736
execution,27.5176220875917
nodes,26.857495163744048
data grids,25.328436022934504
mechanisms,24.81675044671361
service,24.56425399925119
distributed resources,24.356179501787384
environment,23.592195425919453
parallel processing,23.555511833331522
parameter sweep applications,23.325431571226428
node,23.188923858732714
simulation studies,23.122974063169316
wide range,23.02585092994046
complexity,22.69691020236988
grid technologies,22.66570675244973
communication,22.345491012461522
deadlines,21.972245773362197
example,21.405011639608446
experiments,21.261338085478886
grid computing,21.112458636922067
control,20.869886348618234
primitives,20.723265836946414
data movement,20.519594859692294
multiprocessor,20.379387156473385
strategies,20.18148110918311
scheduling,20.137862847202165
memory multiprocessors,20.091775946829053
grid workflows,19.79292997211444
requirements,19.413333201468753
order,19.313254949209202
access,19.26875757071482
programmers,19.183162182386965
program,19.100644357832415
jobs,19.046479048429802
model,18.934563675695298
development,18.926244831729996
network weather service,18.812965295574898
load,18.791990228514074
addition,18.71497387511852
data management,18.539728299853593
schedule,18.507029720950538
advantages,18.420680743952367
security,18.36840028483855
networks,18.27388021476219
parallel applications,18.26713462634054
memory system,17.954645502230758
shasta,17.91759469228055
efficient execution,17.66663387499864
performance metrics,17.66663387499864
resource allocation,17.66663387499864
memory systems,17.59371553076839
wide area,17.26390739335601
open grid services architecture,17.16993602242573
globus toolkit,17.15387264249918
data grid,17.08952449039282
metalevel control,16.9992800643373
interface,16.89116393827219
operating system,16.635532333438686
distributed memory machines,16.479184330021646
workflows,16.479184330021646
analysis,16.427588179270703
state information,16.290976728323244
high performance,16.131425293031455
scientists,16.11809565095832
treadmarks,16.11809565095832
parameters,15.887837141658917
runtime system,15.83434397769155
users,15.736726254911204
computational resources,15.677471079645748
scientific applications,15.677471079645748
computations,14.909439898728003
distributed systems,14.722194895832201
deadline,14.55609079175885
computational grid,14.451858789480823
quality of service,14.451858789480823
resource discovery,14.451858789480823
environments,14.144853237254772
technologies,14.081137682132002
workflow,14.051983751351617
hardware support,13.862943611198906
part,13.862943611198906
resource sharing,13.862943611198906
experience,13.815510557964275
work,13.543029527863547
process,13.471685647306016
